uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1446641712.47, 1446641713.29, 1446641712.47, 1446641719.09, 1446641719.65, 1446641730.8
unit.000001, step_1, 1446641712.48, 1446641713.29, 1446641712.48, 1446641719.47, 1446641720.09, 1446641732.48
unit.000002, step_1, 1446641712.48, 1446641713.29, 1446641712.48, 1446641721.14, 1446641721.66, 1446641739.27
unit.000003, step_1, 1446641712.48, 1446641713.3, 1446641712.48, 1446641721.7, 1446641722.26, 1446641740.91
unit.000004, step_1, 1446641712.48, 1446641713.31, 1446641712.48, 1446641725.35, 1446641725.99, 1446641755.81
unit.000005, step_1, 1446641712.48, 1446641713.28, 1446641712.48, 1446641718.86, 1446641719.45, 1446641729.85
unit.000006, step_1, 1446641712.48, 1446641713.3, 1446641712.48, 1446641722.52, 1446641723.17, 1446641744.07
unit.000007, step_1, 1446641712.49, 1446641713.3, 1446641712.49, 1446641723.33, 1446641723.97, 1446641747.53
unit.000008, step_1, 1446641712.49, 1446641713.3, 1446641712.49, 1446641723.53, 1446641724.18, 1446641748.81
unit.000009, step_1, 1446641712.49, 1446641713.31, 1446641712.49, 1446641724.54, 1446641725.18, 1446641752.27
unit.000010, step_1, 1446641712.49, 1446641713.31, 1446641712.49, 1446641725.18, 1446641725.78, 1446641755.13
unit.000011, step_1, 1446641712.49, 1446641713.28, 1446641712.49, 1446641716.51, 1446641717.24, 1446641723.52
unit.000012, step_1, 1446641712.49, 1446641713.32, 1446641712.49, 1446641726.37, 1446641726.99, 1446641759.87
unit.000013, step_1, 1446641712.49, 1446641713.28, 1446641712.49, 1446641718.36, 1446641718.95, 1446641726.68
unit.000014, step_1, 1446641712.5, 1446641713.28, 1446641712.5, 1446641717.11, 1446641718.54, 1446641725.1
unit.000015, step_1, 1446641712.5, 1446641713.28, 1446641712.5, 1446641718.69, 1446641719.35, 1446641728.8
unit.000016, step_1, 1446641712.5, 1446641713.29, 1446641712.5, 1446641719.27, 1446641719.85, 1446641731.43
unit.000017, step_1, 1446641712.5, 1446641713.29, 1446641712.5, 1446641719.88, 1446641720.45, 1446641734.09
unit.000018, step_1, 1446641712.5, 1446641713.29, 1446641712.5, 1446641720.69, 1446641721.36, 1446641737.68
unit.000019, step_1, 1446641712.5, 1446641713.29, 1446641712.5, 1446641721.3, 1446641721.86, 1446641739.34
unit.000020, step_1, 1446641712.51, 1446641713.3, 1446641712.51, 1446641722.14, 1446641722.77, 1446641742.49
unit.000021, step_1, 1446641712.51, 1446641713.3, 1446641712.51, 1446641722.92, 1446641723.57, 1446641745.95
unit.000022, step_1, 1446641712.51, 1446641713.32, 1446641712.51, 1446641726.57, 1446641727.19, 1446641761.1
unit.000023, step_1, 1446641712.51, 1446641713.29, 1446641712.51, 1446641720.28, 1446641720.86, 1446641736.09
unit.000024, step_1, 1446641712.51, 1446641713.31, 1446641712.51, 1446641723.93, 1446641724.58, 1446641750.39
unit.000025, step_1, 1446641712.51, 1446641713.32, 1446641712.51, 1446641726.19, 1446641726.79, 1446641759.0
unit.000026, step_1, 1446641712.52, 1446641713.28, 1446641712.52, 1446641717.31, 1446641718.84, 1446641725.21
unit.000027, step_1, 1446641712.52, 1446641713.29, 1446641712.52, 1446641719.68, 1446641720.25, 1446641733.01
unit.000028, step_1, 1446641712.52, 1446641713.28, 1446641712.52, 1446641718.58, 1446641719.25, 1446641728.26
unit.000029, step_1, 1446641712.52, 1446641713.28, 1446641712.52, 1446641716.91, 1446641718.44, 1446641723.61
unit.000030, step_1, 1446641712.52, 1446641713.3, 1446641712.52, 1446641722.31, 1446641722.97, 1446641744.36
unit.000031, step_1, 1446641712.52, 1446641713.31, 1446641712.52, 1446641725.96, 1446641726.59, 1446641758.29
unit.000032, step_1, 1446641712.53, 1446641713.28, 1446641712.53, 1446641716.71, 1446641717.34, 1446641722.0
unit.000033, step_1, 1446641712.53, 1446641713.29, 1446641712.53, 1446641720.89, 1446641721.46, 1446641737.76
unit.000034, step_1, 1446641712.53, 1446641713.31, 1446641712.53, 1446641724.74, 1446641725.38, 1446641753.55
unit.000035, step_1, 1446641712.53, 1446641713.3, 1446641712.53, 1446641723.73, 1446641724.38, 1446641749.12
unit.000036, step_1, 1446641712.53, 1446641713.3, 1446641712.53, 1446641722.72, 1446641723.37, 1446641745.65
unit.000037, step_1, 1446641712.53, 1446641713.3, 1446641712.53, 1446641721.5, 1446641722.06, 1446641740.85
unit.000038, step_1, 1446641712.53, 1446641713.29, 1446641712.53, 1446641720.1, 1446641720.66, 1446641734.6
unit.000039, step_1, 1446641712.54, 1446641713.31, 1446641712.54, 1446641724.34, 1446641724.98, 1446641751.97
unit.000040, step_1, 1446641712.54, 1446641713.28, 1446641712.54, 1446641718.47, 1446641719.09, 1446641726.83
unit.000041, step_1, 1446641712.54, 1446641713.31, 1446641712.54, 1446641725.76, 1446641726.39, 1446641757.41
unit.000042, step_1, 1446641712.54, 1446641713.31, 1446641712.54, 1446641725.56, 1446641726.19, 1446641756.71
unit.000043, step_1, 1446641712.54, 1446641713.31, 1446641712.54, 1446641724.17, 1446641724.78, 1446641750.69
unit.000044, step_1, 1446641712.54, 1446641713.3, 1446641712.54, 1446641723.16, 1446641723.77, 1446641747.23
unit.000045, step_1, 1446641712.55, 1446641713.3, 1446641712.55, 1446641721.91, 1446641722.47, 1446641742.43
unit.000046, step_1, 1446641712.55, 1446641713.29, 1446641712.55, 1446641720.49, 1446641721.06, 1446641736.18
unit.000047, step_1, 1446641712.55, 1446641713.31, 1446641712.55, 1446641724.95, 1446641725.68, 1446641753.85
unit.000048, step_2, 1446641763.25, 1446641764.43, 1446641763.25, 1446641767.06, 1446641768.88, 1446641774.99
unit.000049, step_2, 1446641763.25, 1446641764.44, 1446641763.25, 1446641767.37, 1446641769.18, 1446641776.16
unit.000050, step_2, 1446641763.25, 1446641766.36, 1446641763.25, 1446641768.2, 1446641770.08, 1446641776.08
unit.000051, step_2, 1446641763.25, 1446641766.52, 1446641763.25, 1446641768.51, 1446641770.38, 1446641777.17
unit.000052, step_2, 1446641763.25, 1446641767.45, 1446641763.25, 1446641769.33, 1446641771.18, 1446641777.25
unit.000053, step_2, 1446641763.26, 1446641767.59, 1446641763.26, 1446641769.54, 1446641771.39, 1446641778.25
unit.000054, step_2, 1446641763.26, 1446641768.49, 1446641763.26, 1446641770.26, 1446641772.09, 1446641778.34
unit.000055, step_2, 1446641763.26, 1446641768.66, 1446641763.26, 1446641770.57, 1446641772.39, 1446641779.34
unit.000056, step_2, 1446641763.26, 1446641769.52, 1446641763.26, 1446641773.62, 1446641775.5, 1446641779.42
unit.000057, step_2, 1446641763.26, 1446641769.72, 1446641763.26, 1446641773.82, 1446641775.6, 1446641780.43
unit.000058, step_2, 1446641763.27, 1446641772.9, 1446641763.27, 1446641774.89, 1446641776.7, 1446641780.51
unit.000059, step_2, 1446641763.27, 1446641772.9, 1446641763.27, 1446641775.09, 1446641776.9, 1446641781.52
unit.000060, step_2, 1446641763.27, 1446641774.18, 1446641763.27, 1446641776.22, 1446641778.41, 1446641781.6
unit.000061, step_2, 1446641763.27, 1446641774.19, 1446641763.27, 1446641776.62, 1446641778.51, 1446641782.6
unit.000062, step_2, 1446641763.28, 1446641775.31, 1446641763.28, 1446641777.49, 1446641779.41, 1446641782.68
unit.000063, step_2, 1446641763.28, 1446641775.32, 1446641763.28, 1446641777.69, 1446641779.51, 1446641783.69
unit.000064, step_2, 1446641763.28, 1446641776.65, 1446641763.28, 1446641778.58, 1446641780.41, 1446641783.78
unit.000065, step_2, 1446641763.28, 1446641776.65, 1446641763.28, 1446641778.79, 1446641780.61, 1446641784.77
unit.000066, step_2, 1446641763.28, 1446641777.79, 1446641763.28, 1446641779.68, 1446641781.52, 1446641784.87
unit.000067, step_2, 1446641763.28, 1446641777.81, 1446641763.28, 1446641779.88, 1446641781.72, 1446641785.86
unit.000068, step_2, 1446641763.29, 1446641778.86, 1446641763.29, 1446641780.6, 1446641782.47, 1446641785.97
unit.000069, step_2, 1446641763.29, 1446641778.87, 1446641763.29, 1446641780.81, 1446641782.62, 1446641786.95
unit.000070, step_2, 1446641763.29, 1446641779.92, 1446641763.29, 1446641781.7, 1446641783.62, 1446641787.06
