Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-03 19:00:03.027973; 2015-11-03 19:00:03.027990; 1.7e-05
cycle_1; pp_step_enmd_overhead; 2015-11-03 19:00:03.027973; 2015-11-03 19:00:03.027990; 1.7e-05
cycle_1; ex_step; 2015-11-03 18:59:17.247555; 2015-11-03 19:00:03.027751; 45.780196
cycle_1; ex_step_enmd_overhead; 2015-11-03 18:59:17.247555; 2015-11-03 18:59:17.544615; 0.29706
cycle_1; md_step; 2015-11-03 18:58:25.693473; 2015-11-03 18:59:17.247317; 51.553844
cycle_1; md_step_enmd_overhead; 2015-11-03 18:58:25.693473; 2015-11-03 18:58:26.026743; 0.33327
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.000025; 1446577157.83; 1446577168.61; 1446577170.68; 1446577170.93; 1446577187.24; 1446577188.35; cycle_1; ex_step
unit.000024; 1446577157.83; 1446577167.08; 1446577169.51; 1446577169.72; 1446577186.16; 1446577187.25; cycle_1; ex_step
unit.000027; 1446577157.83; 1446577170.19; 1446577172.34; 1446577172.55; 1446577189.35; 1446577190.45; cycle_1; ex_step
unit.000026; 1446577157.83; 1446577168.81; 1446577171.0; 1446577171.2; 1446577188.25; 1446577189.35; cycle_1; ex_step
unit.000047; 1446577157.86; 1446577166.89; 1446577169.2; 1446577169.4; 1446577186.14; 1446577187.24; cycle_1; ex_step
unit.000046; 1446577157.86; 1446577165.01; 1446577167.69; 1446577167.9; 1446577185.04; 1446577186.14; cycle_1; ex_step
unit.000045; 1446577157.86; 1446577164.86; 1446577167.38; 1446577167.58; 1446577184.07; 1446577185.15; cycle_1; ex_step
unit.000042; 1446577157.86; 1446577158.5; 1446577163.62; 1446577163.82; 1446577179.37; 1446577184.07; cycle_1; ex_step
unit.000029; 1446577157.84; 1446577171.82; 1446577174.34; 1446577174.54; 1446577191.45; 1446577192.55; cycle_1; ex_step
unit.000028; 1446577157.83; 1446577170.45; 1446577172.66; 1446577172.86; 1446577189.35; 1446577190.45; cycle_1; ex_step
unit.000040; 1446577157.85; 1446577182.28; 1446577184.54; 1446577184.74; 1446577200.94; 1446577202.05; cycle_1; ex_step
unit.000044; 1446577157.86; 1446577162.96; 1446577165.7; 1446577165.9; 1446577183.95; 1446577185.04; cycle_1; ex_step
unit.000043; 1446577157.86; 1446577162.88; 1446577165.38; 1446577165.59; 1446577182.86; 1446577183.95; cycle_1; ex_step
unit.000036; 1446577157.85; 1446577177.62; 1446577181.23; 1446577181.43; 1446577197.74; 1446577198.83; cycle_1; ex_step
unit.000037; 1446577157.85; 1446577179.12; 1446577181.88; 1446577182.09; 1446577198.83; 1446577199.93; cycle_1; ex_step
unit.000034; 1446577157.84; 1446577175.91; 1446577178.3; 1446577178.5; 1446577194.64; 1446577195.73; cycle_1; ex_step
unit.000035; 1446577157.85; 1446577177.41; 1446577179.64; 1446577179.85; 1446577196.74; 1446577197.83; cycle_1; ex_step
unit.000032; 1446577157.84; 1446577174.09; 1446577176.48; 1446577176.68; 1446577193.55; 1446577194.64; cycle_1; ex_step
unit.000033; 1446577157.84; 1446577175.66; 1446577178.05; 1446577178.19; 1446577194.64; 1446577195.73; cycle_1; ex_step
unit.000030; 1446577157.84; 1446577172.04; 1446577174.65; 1446577174.86; 1446577191.45; 1446577192.55; cycle_1; ex_step
unit.000031; 1446577157.84; 1446577173.79; 1446577176.17; 1446577176.37; 1446577192.55; 1446577193.64; cycle_1; ex_step
unit.000038; 1446577157.85; 1446577180.64; 1446577182.88; 1446577183.09; 1446577199.84; 1446577200.94; cycle_1; ex_step
unit.000039; 1446577157.85; 1446577181.39; 1446577183.54; 1446577183.74; 1446577199.93; 1446577201.05; cycle_1; ex_step
unit.000041; 1446577157.85; 1446577158.5; 1446577163.42; 1446577163.62; 1446577179.28; 1446577182.86; cycle_1; ex_step
unit.000021; 1446577106.52; 1446577107.33; 1446577111.95; 1446577112.15; 1446577131.15; 1446577134.12; cycle_1; md_step
unit.000020; 1446577106.52; 1446577107.33; 1446577111.55; 1446577111.75; 1446577129.02; 1446577131.15; cycle_1; md_step
unit.000009; 1446577106.46; 1446577107.34; 1446577113.36; 1446577113.57; 1446577142.8; 1446577145.4; cycle_1; md_step
unit.000008; 1446577106.46; 1446577107.33; 1446577112.76; 1446577112.96; 1446577136.26; 1446577139.61; cycle_1; md_step
unit.000007; 1446577106.46; 1446577107.32; 1446577110.74; 1446577110.94; 1446577123.49; 1446577126.37; cycle_1; md_step
unit.000006; 1446577106.46; 1446577107.33; 1446577111.75; 1446577111.95; 1446577130.78; 1446577133.7; cycle_1; md_step
unit.000005; 1446577106.45; 1446577107.33; 1446577112.35; 1446577112.55; 1446577134.12; 1446577136.26; cycle_1; md_step
unit.000004; 1446577106.45; 1446577107.35; 1446577114.98; 1446577115.18; 1446577153.89; 1446577156.23; cycle_1; md_step
