Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; pp_step_enmd_overhead; 2015-11-06 12:28:59.094417; 2015-11-06 12:28:59.094428; 1.1e-05
cycle_1; ex_step; 2015-11-06 12:27:52.901945; 2015-11-06 12:28:59.093850; 66.191905
cycle_1; ex_step_enmd_overhead; 2015-11-06 12:27:52.901945; 2015-11-06 12:27:53.513294; 0.611349
cycle_1; md_step; 2015-11-06 12:26:22.206271; 2015-11-06 12:27:52.901421; 90.69515
cycle_1; md_step_enmd_overhead; 2015-11-06 12:26:22.206271; 2015-11-06 12:26:22.897310; 0.691039
CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000168; 1446812874.51; 1446812882.36; 1446812886.06; 1446812886.2; 1446812888.02; 1446812890.72; cycle_1; ex_step
unit.000169; 1446812874.51; 1446812885.35; 1446812887.0; 1446812887.2; 1446812889.02; 1446812891.7; cycle_1; ex_step
unit.000164; 1446812874.51; 1446812879.23; 1446812880.82; 1446812881.02; 1446812882.81; 1446812888.53; cycle_1; ex_step
unit.000165; 1446812874.51; 1446812879.52; 1446812882.84; 1446812883.05; 1446812884.91; 1446812889.59; cycle_1; ex_step
unit.000166; 1446812874.51; 1446812880.23; 1446812883.04; 1446812883.25; 1446812885.01; 1446812889.62; cycle_1; ex_step
unit.000167; 1446812874.51; 1446812882.35; 1446812888.48; 1446812888.68; 1446812890.53; 1446812892.8; cycle_1; ex_step
unit.000160; 1446812874.5; 1446812877.22; 1446812878.72; 1446812878.92; 1446812881.0; 1446812886.26; cycle_1; ex_step
unit.000161; 1446812874.5; 1446812877.39; 1446812879.03; 1446812879.23; 1446812881.1; 1446812887.37; cycle_1; ex_step
unit.000162; 1446812874.5; 1446812878.21; 1446812879.86; 1446812880.06; 1446812882.41; 1446812887.44; cycle_1; ex_step
unit.000163; 1446812874.5; 1446812878.46; 1446812880.17; 1446812880.37; 1446812882.61; 1446812888.49; cycle_1; ex_step
unit.000173; 1446812874.52; 1446812888.35; 1446812889.93; 1446812890.13; 1446812891.94; 1446812894.97; cycle_1; ex_step
unit.000172; 1446812874.52; 1446812887.9; 1446812889.62; 1446812889.82; 1446812891.63; 1446812893.88; cycle_1; ex_step
unit.000171; 1446812874.52; 1446812887.34; 1446812888.96; 1446812889.17; 1446812891.03; 1446812893.88; cycle_1; ex_step
unit.000170; 1446812874.51; 1446812886.34; 1446812887.83; 1446812888.09; 1446812889.83; 1446812892.79; cycle_1; ex_step
unit.000177; 1446812874.53; 1446812890.35; 1446812892.16; 1446812892.36; 1446812894.14; 1446812897.15; cycle_1; ex_step
unit.000176; 1446812874.52; 1446812890.06; 1446812891.96; 1446812892.16; 1446812894.04; 1446812897.06; cycle_1; ex_step
unit.000175; 1446812874.52; 1446812889.35; 1446812890.97; 1446812891.17; 1446812893.04; 1446812896.05; cycle_1; ex_step
unit.000174; 1446812874.52; 1446812888.98; 1446812890.65; 1446812890.85; 1446812892.64; 1446812894.96; cycle_1; ex_step
unit.000179; 1446812874.53; 1446812891.46; 1446812893.37; 1446812893.57; 1446812895.45; 1446812898.23; cycle_1; ex_step
unit.000178; 1446812874.53; 1446812891.36; 1446812892.89; 1446812893.11; 1446812894.95; 1446812898.14; cycle_1; ex_step
unit.000106; 1446812874.41; 1446812903.47; 1446812905.12; 1446812905.32; 1446812907.19; 1446812911.21; cycle_1; ex_step
unit.000107; 1446812874.41; 1446812904.34; 1446812906.02; 1446812906.27; 1446812908.2; 1446812911.32; cycle_1; ex_step
unit.000104; 1446812874.41; 1446812902.47; 1446812904.09; 1446812904.29; 1446812906.19; 1446812910.12; cycle_1; ex_step
unit.000105; 1446812874.41; 1446812903.27; 1446812904.92; 1446812905.12; 1446812906.99; 1446812910.22; cycle_1; ex_step
unit.000102; 1446812874.41; 1446812901.45; 1446812903.12; 1446812903.32; 1446812905.19; 1446812909.03; cycle_1; ex_step
unit.000103; 1446812874.41; 1446812902.26; 1446812903.78; 1446812903.98; 1446812905.79; 1446812909.13; cycle_1; ex_step
unit.000100; 1446812874.4; 1446812900.45; 1446812902.07; 1446812902.27; 1446812904.08; 1446812907.94; cycle_1; ex_step
unit.000101; 1446812874.4; 1446812901.26; 1446812902.81; 1446812903.01; 1446812904.88; 1446812908.04; cycle_1; ex_step
unit.000108; 1446812874.42; 1446812904.47; 1446812906.26; 1446812906.43; 1446812908.3; 1446812912.31; cycle_1; ex_step
unit.000109; 1446812874.42; 1446812905.4; 1446812906.95; 1446812907.15; 1446812909.0; 1446812912.43; cycle_1; ex_step
unit.000188; 1446812874.54; 1446812896.41; 1446812898.13; 1446812898.27; 1446812900.18; 1446812903.58; cycle_1; ex_step
unit.000189; 1446812874.55; 1446812897.0; 1446812898.55; 1446812898.76; 1446812900.67; 1446812903.67; cycle_1; ex_step
unit.000186; 1446812874.54; 1446812895.41; 1446812896.93; 1446812897.14; 1446812898.96; 1446812902.5; cycle_1; ex_step
unit.000187; 1446812874.54; 1446812895.93; 1446812897.59; 1446812897.79; 1446812899.66; 1446812902.58; cycle_1; ex_step
