uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1462387127.16, 1462387129.12, 1462387129.12, 1462387147.51, 1462387147.54, 1462387147.56, 1462387147.57,1462387149.52, 1462387260.07, 1462387260.47, 1462387260.59, 1462387261.3, 1462387261.33
unit.000001, 1, sim, 1462387127.16, 1462387128.52, 1462387128.52, 1462387146.46, 1462387146.51, 1462387146.53, 1462387146.54,1462387147.66, 1462387260.33, 1462387261.81, 1462387261.84, 1462387263.68, 1462387263.71
unit.000002, 1, sim, 1462387127.16, 1462387129.01, 1462387129.01, 1462387147.14, 1462387147.39, 1462387147.41, 1462387147.42,1462387147.96, 1462387261.82, 1462387262.65, 1462387262.81, 1462387263.84, 1462387263.87
unit.000003, 1, sim, 1462387127.16, 1462387128.63, 1462387128.63, 1462387146.59, 1462387146.63, 1462387146.65, 1462387146.66,1462387147.69, 1462387260.27, 1462387261.13, 1462387261.19, 1462387262.44, 1462387262.47
unit.000004, 1, sim, 1462387127.16, 1462387128.69, 1462387128.69, 1462387146.68, 1462387146.71, 1462387146.72, 1462387146.73,1462387147.71, 1462387260.34, 1462387261.85, 1462387261.92, 1462387263.73, 1462387263.76
unit.000005, 1, sim, 1462387127.16, 1462387128.74, 1462387128.74, 1462387146.79, 1462387146.82, 1462387146.84, 1462387146.85,1462387147.74, 1462387260.36, 1462387262.03, 1462387262.1, 1462387263.79, 1462387263.81
unit.000006, 1, sim, 1462387127.16, 1462387128.8, 1462387128.8, 1462387146.87, 1462387146.9, 1462387146.92, 1462387146.93,1462387147.76, 1462387265.78, 1462387265.81, 1462387265.81, 1462387267.04, 1462387267.06
unit.000007, 1, sim, 1462387127.16, 1462387128.9, 1462387128.9, 1462387146.98, 1462387147.01, 1462387147.03, 1462387147.04,1462387147.79, 1462387260.37, 1462387262.11, 1462387262.17, 1462387263.79, 1462387263.81
unit.000008, 1, sim, 1462387127.16, 1462387128.96, 1462387128.96, 1462387147.06, 1462387147.08, 1462387147.11, 1462387147.12,1462387147.81, 1462387261.86, 1462387262.82, 1462387262.83, 1462387263.84, 1462387263.87
