uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1463697959.55, 1463697980.01, 1463697980.01, 1463697980.51, 1463697980.52, 1463698140.39, 1463698140.4,1463698140.41, 1463698250.06, 1463698250.07, 1463698250.1, 1463698251.27, 1463698251.3
unit.000001, 1, sim, 1463697959.56, 1463697988.92, 1463697988.92, 1463697989.43, 1463697989.44, 1463698266.79, 1463698266.8,1463698266.81, 1463698377.52, 1463698377.55, 1463698377.57, 1463698378.18, 1463698378.21
unit.000002, 1, sim, 1463697959.56, 1463697981.73, 1463697981.73, 1463697982.31, 1463697982.33, 1463698158.79, 1463698158.8,1463698158.85, 1463698284.9, 1463698287.66, 1463698287.73, 1463698288.72, 1463698288.75
unit.000003, 1, sim, 1463697959.56, 1463697989.18, 1463697989.18, 1463697989.76, 1463697989.77, 1463698270.36, 1463698270.39,1463698270.4, 1463698379.2, 1463698379.21, 1463698379.25, 1463698380.42, 1463698380.45
unit.000004, 1, sim, 1463697959.56, 1463697983.29, 1463697983.29, 1463697984.01, 1463697984.02, 1463698187.07, 1463698187.1,1463698187.11, 1463698296.33, 1463698296.34, 1463698296.42, 1463698296.88, 1463698296.91
unit.000005, 1, sim, 1463697959.56, 1463697989.8, 1463697989.8, 1463697990.3, 1463697990.3, 1463698275.08, 1463698275.09,1463698275.1, 1463698383.61, 1463698383.68, 1463698383.76, 1463698384.89, 1463698384.92
unit.000006, 1, sim, 1463697959.56, 1463697989.91, 1463697989.91, 1463697990.35, 1463697990.36, 1463698276.34, 1463698276.35,1463698276.36, 1463698386.14, 1463698386.15, 1463698386.16, 1463698387.19, 1463698387.22
unit.000007, 1, sim, 1463697959.56, 1463697990.04, 1463697990.04, 1463697990.71, 1463697990.72, 1463698278.37, 1463698278.38,1463698278.39, 1463698388.06, 1463698388.17, 1463698388.18, 1463698389.49, 1463698389.52
unit.000008, 1, sim, 1463697959.56, 1463697986.32, 1463697986.32, 1463697986.79, 1463697986.8, 1463698231.09, 1463698231.1,1463698231.12, 1463698339.86, 1463698339.87, 1463698339.93, 1463698340.38, 1463698340.41
