CU_ID; Scheduling; StagingInput; Allocating; Executing; AgentStagingOutputPending; Done; Cycle; Step;
unit.000357; 1446814240.44; 1446814337.09; 1446814338.82; 1446814339.02; 1446814340.91; 1446814346.68; cycle_1; ex_step
unit.000356; 1446814240.44; 1446814336.8; 1446814338.5; 1446814338.71; 1446814340.51; 1446814345.58; cycle_1; ex_step
unit.000355; 1446814240.43; 1446814336.07; 1446814337.67; 1446814337.88; 1446814339.71; 1446814345.58; cycle_1; ex_step
unit.000354; 1446814240.43; 1446814335.53; 1446814337.36; 1446814337.56; 1446814339.41; 1446814344.48; cycle_1; ex_step
unit.000353; 1446814240.43; 1446814335.07; 1446814336.7; 1446814336.9; 1446814338.81; 1446814344.48; cycle_1; ex_step
unit.000352; 1446814240.43; 1446814334.32; 1446814336.04; 1446814336.24; 1446814338.1; 1446814343.35; cycle_1; ex_step
unit.000351; 1446814240.43; 1446814334.06; 1446814335.73; 1446814335.93; 1446814337.8; 1446814343.35; cycle_1; ex_step
unit.000350; 1446814240.43; 1446814333.05; 1446814334.58; 1446814334.79; 1446814336.6; 1446814342.25; cycle_1; ex_step
unit.000359; 1446814240.44; 1446814338.11; 1446814339.65; 1446814339.85; 1446814341.72; 1446814346.67; cycle_1; ex_step
unit.000358; 1446814240.44; 1446814338.01; 1446814339.97; 1446814340.17; 1446814342.02; 1446814347.77; cycle_1; ex_step
unit.000296; 1446814240.34; 1446814302.89; 1446814304.46; 1446814304.66; 1446814306.48; 1446814311.16; cycle_1; ex_step
unit.000297; 1446814240.34; 1446814303.47; 1446814305.12; 1446814305.32; 1446814307.19; 1446814312.29; cycle_1; ex_step
unit.000294; 1446814240.33; 1446814301.86; 1446814303.47; 1446814303.68; 1446814305.58; 1446814310.05; cycle_1; ex_step
unit.000295; 1446814240.34; 1446814302.41; 1446814303.97; 1446814304.17; 1446814306.08; 1446814311.16; cycle_1; ex_step
unit.000292; 1446814240.33; 1446814300.81; 1446814302.54; 1446814302.7; 1446814304.63; 1446814308.95; cycle_1; ex_step
