uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 1, sim, 1446762860.17, 1446762862.59, 1446763097.45, 1446763215.6, 1446763221.17, 1446763235.63
unit.000001, 1, sim, 1446762860.17, 1446762862.59, 1446763108.64, 1446763222.36, 1446763232.61, 1446763249.05
unit.000002, 1, sim, 1446762860.18, 1446762862.59, 1446763117.18, 1446763222.7, 1446763229.3, 1446763248.97
unit.000003, 1, sim, 1446762860.18, 1446762862.59, 1446763114.36, 1446763222.59, 1446763229.2, 1446763240.03
unit.000004, 1, sim, 1446762860.18, 1446762862.59, 1446763124.85, 1446763232.61, 1446763233.51, 1446763251.94
unit.000005, 1, sim, 1446762860.18, 1446762862.6, 1446763125.47, 1446763232.95, 1446763236.02, 1446763255.97
unit.000006, 1, sim, 1446762860.18, 1446762862.6, 1446763129.99, 1446763233.48, 1446763248.51, 1446763257.46
unit.000007, 1, sim, 1446762860.18, 1446762862.6, 1446763134.24, 1446763252.81, 1446763265.17, 1446763271.73
unit.000008, 1, sim, 1446762860.19, 1446762862.6, 1446763134.85, 1446763253.1, 1446763255.93, 1446763270.24
unit.000009, 1, sim, 1446762860.19, 1446762862.61, 1446763143.69, 1446763265.33, 1446763266.35, 1446763274.51
unit.000010, 1, sim, 1446762860.19, 1446762862.61, 1446763146.19, 1446763265.56, 1446763266.45, 1446763275.2
unit.000011, 1, sim, 1446762860.19, 1446762862.62, 1446763148.44, 1446763266.42, 1446763268.06, 1446763279.35
unit.000012, 1, sim, 1446762860.19, 1446762862.62, 1446763150.19, 1446763267.98, 1446763269.87, 1446763282.69
unit.000013, 1, sim, 1446762860.19, 1446762862.62, 1446763150.99, 1446763268.6, 1446763272.09, 1446763284.08
unit.000014, 1, sim, 1446762860.2, 1446762862.63, 1446763155.17, 1446763272.21, 1446763272.89, 1446763287.82
unit.000015, 1, sim, 1446762860.2, 1446762862.63, 1446763155.58, 1446763272.44, 1446763274.2, 1446763289.21
unit.000016, 1, sim, 1446762860.2, 1446762862.63, 1446763164.74, 1446763272.78, 1446763275.8, 1446763290.6
unit.000017, 1, sim, 1446762860.2, 1446762862.62, 1446763148.94, 1446763267.64, 1446763268.27, 1446763280.8
unit.000018, 1, sim, 1446762860.2, 1446762862.64, 1446763183.93, 1446763284.36, 1446763290.42, 1446763307.38
unit.000019, 1, sim, 1446762860.2, 1446762862.64, 1446763182.87, 1446763282.67, 1446763284.95, 1446763306.62
unit.000020, 1, sim, 1446762860.2, 1446762862.65, 1446763187.88, 1446763295.2, 1446763307.45, 1446763327.74
unit.000021, 1, sim, 1446762860.21, 1446762862.65, 1446763195.75, 1446763312.56, 1446763324.36, 1446763338.07
unit.000022, 1, sim, 1446762860.21, 1446762862.67, 1446763219.13, 1446763335.45, 1446763350.5, 1446763365.1
unit.000023, 1, sim, 1446762860.21, 1446762862.48, 1446762871.1, 1446762898.34, 1446762913.65, 1446762925.24
unit.000024, 1, sim, 1446762860.21, 1446762862.48, 1446762891.45, 1446762901.89, 1446762919.38, 1446762946.22
unit.000025, 1, sim, 1446762860.21, 1446762862.64, 1446763174.81, 1446763282.22, 1446763282.94, 1446763293.38
unit.000026, 1, sim, 1446762860.21, 1446762862.67, 1446763222.41, 1446763341.26, 1446763357.35, 1446763367.88
unit.000027, 1, sim, 1446762860.22, 1446762862.67, 1446763223.45, 1446763347.85, 1446763352.61, 1446763365.39
unit.000028, 1, sim, 1446762860.22, 1446762862.67, 1446763227.7, 1446763357.35, 1446763357.95, 1446763369.26
unit.000029, 1, sim, 1446762860.22, 1446762862.68, 1446763232.45, 1446763357.71, 1446763358.56, 1446763370.96
unit.000030, 1, sim, 1446762860.22, 1446762862.68, 1446763233.13, 1446763358.11, 1446763361.06, 1446763372.35
unit.000031, 1, sim, 1446762860.22, 1446762862.68, 1446763235.23, 1446763358.47, 1446763362.47, 1446763374.83
unit.000032, 1, sim, 1446762860.22, 1446762862.65, 1446763205.79, 1446763325.01, 1446763327.07, 1446763350.28
unit.000033, 1, sim, 1446762860.23, 1446762862.5, 1446762909.43, 1446762943.31, 1446762962.07, 1446763035.04
unit.000034, 1, sim, 1446762860.23, 1446762862.47, 1446762864.1, 1446762864.29, 1446762901.92, 1446762916.42
unit.000035, 1, sim, 1446762860.23, 1446762862.48, 1446762885.2, 1446762901.75, 1446762913.85, 1446762938.31
unit.000036, 1, sim, 1446762860.23, 1446762862.49, 1446762897.29, 1446762913.63, 1446762928.72, 1446762957.73
unit.000037, 1, sim, 1446762860.23, 1446762862.49, 1446762900.07, 1446762919.45, 1446762943.32, 1446762975.2
unit.000038, 1, sim, 1446762860.23, 1446762862.5, 1446762903.7, 1446762928.78, 1446762954.85, 1446762999.35
unit.000039, 1, sim, 1446762860.24, 1446762862.5, 1446762911.87, 1446762943.39, 1446762961.96, 1446763016.1
unit.000040, 1, sim, 1446762860.24, 1446762862.51, 1446762916.04, 1446762954.83, 1446762995.83, 1446763039.98
unit.000041, 1, sim, 1446762860.24, 1446762862.51, 1446762921.2, 1446762972.39, 1446763013.28, 1446763063.93
unit.000042, 1, sim, 1446762860.24, 1446762862.52, 1446762926.91, 1446762995.87, 1446763031.82, 1446763085.89
unit.000043, 1, sim, 1446762860.24, 1446762862.52, 1446762940.92, 1446763031.67, 1446763049.46, 1446763129.4
unit.000044, 1, sim, 1446762860.24, 1446762862.52, 1446762950.13, 1446763049.28, 1446763081.4, 1446763140.81
unit.000045, 1, sim, 1446762860.25, 1446762862.53, 1446762954.98, 1446763060.71, 1446763090.12, 1446763147.88
unit.000046, 1, sim, 1446762860.25, 1446762862.53, 1446762962.11, 1446763081.37, 1446763124.82, 1446763152.68
unit.000047, 1, sim, 1446762860.25, 1446762862.53, 1446762970.05, 1446763108.51, 1446763120.31, 1446763151.23
unit.000048, 1, sim, 1446762860.25, 1446762862.53, 1446762979.71, 1446763124.99, 1446763126.13, 1446763155.58
unit.000049, 1, sim, 1446762860.25, 1446762862.54, 1446762990.2, 1446763125.33, 1446763134.13, 1446763157.08
