uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 0, pre_loop, 1446639017.23, 1446639017.92, 1446639027.89, 1446639028.09, 1446639029.08, 1446639029.96
unit.000001, 1, sim, 1446639033.51, 1446639034.6, 1446639051.28, 1446639051.48, 1446639082.88, 1446639085.29
unit.000002, 1, sim, 1446639033.51, 1446639034.62, 1446639052.32, 1446639052.52, 1446639079.95, 1446639082.24
unit.000003, 1, sim, 1446639033.51, 1446639034.63, 1446639053.56, 1446639053.76, 1446639084.49, 1446639087.32
unit.000004, 1, sim, 1446639033.51, 1446639034.62, 1446639052.73, 1446639052.93, 1446639084.09, 1446639087.31
unit.000005, 1, sim, 1446639033.52, 1446639034.64, 1446639054.24, 1446639054.43, 1446639085.23, 1446639088.33
unit.000006, 1, sim, 1446639033.52, 1446639034.78, 1446639064.44, 1446639064.64, 1446639102.36, 1446639103.4
unit.000007, 1, sim, 1446639033.52, 1446639034.67, 1446639056.4, 1446639056.61, 1446639095.01, 1446639096.37
unit.000008, 1, sim, 1446639033.52, 1446639034.65, 1446639055.47, 1446639055.67, 1446639094.41, 1446639096.36
unit.000009, 1, sim, 1446639033.52, 1446639034.92, 1446639075.71, 1446639075.91, 1446639103.47, 1446639105.42
unit.000010, 1, sim, 1446639033.52, 1446639034.38, 1446639035.76, 1446639035.96, 1446639063.55, 1446639065.09
unit.000011, 1, sim, 1446639033.53, 1446639034.39, 1446639036.4, 1446639036.6, 1446639065.77, 1446639067.1
unit.000012, 1, sim, 1446639033.53, 1446639034.39, 1446639037.05, 1446639037.22, 1446639068.6, 1446639070.11
unit.000013, 1, sim, 1446639033.53, 1446639034.62, 1446639052.53, 1446639052.73, 1446639079.64, 1446639081.23
unit.000014, 1, sim, 1446639033.53, 1446639034.41, 1446639039.06, 1446639039.19, 1446639071.54, 1446639073.14
unit.000015, 1, sim, 1446639033.53, 1446639034.42, 1446639039.81, 1446639040.07, 1446639073.67, 1446639075.17
unit.000016, 1, sim, 1446639033.54, 1446639034.76, 1446639063.82, 1446639064.02, 1446639102.05, 1446639103.39
unit.000017, 1, sim, 1446639033.54, 1446639034.45, 1446639040.85, 1446639041.05, 1446639073.26, 1446639074.16
unit.000018, 1, sim, 1446639033.54, 1446639034.46, 1446639041.5, 1446639041.7, 1446639065.57, 1446639067.1
unit.000019, 1, sim, 1446639033.54, 1446639034.9, 1446639074.88, 1446639075.08, 1446639106.7, 1446639112.51
unit.000020, 1, sim, 1446639033.54, 1446639034.39, 1446639036.81, 1446639037.05, 1446639069.31, 1446639070.12
unit.000021, 1, sim, 1446639033.54, 1446639034.46, 1446639041.3, 1446639041.5, 1446639068.71, 1446639070.12
unit.000022, 1, sim, 1446639033.54, 1446639034.51, 1446639045.22, 1446639045.42, 1446639078.94, 1446639080.22
unit.000023, 1, sim, 1446639033.55, 1446639034.58, 1446639049.83, 1446639050.03, 1446639082.18, 1446639084.27
unit.000024, 1, sim, 1446639033.55, 1446639034.52, 1446639045.43, 1446639045.63, 1446639079.34, 1446639080.22
unit.000025, 1, sim, 1446639033.55, 1446639034.52, 1446639046.05, 1446639046.25, 1446639079.75, 1446639081.23
unit.000026, 1, sim, 1446639033.55, 1446639034.53, 1446639046.87, 1446639047.08, 1446639071.64, 1446639073.14
unit.000027, 1, sim, 1446639033.55, 1446639034.55, 1446639047.7, 1446639047.9, 1446639080.86, 1446639083.25
unit.000028, 1, sim, 1446639033.55, 1446639034.56, 1446639048.32, 1446639048.53, 1446639079.85, 1446639081.23
unit.000029, 1, sim, 1446639033.56, 1446639034.58, 1446639049.22, 1446639049.41, 1446639081.77, 1446639084.27
unit.000030, 1, sim, 1446639033.56, 1446639034.58, 1446639050.04, 1446639050.24, 1446639082.47, 1446639085.28
unit.000031, 1, sim, 1446639033.56, 1446639034.59, 1446639050.66, 1446639050.86, 1446639082.27, 1446639084.27
unit.000032, 1, sim, 1446639033.56, 1446639034.68, 1446639057.24, 1446639057.45, 1446639084.21, 1446639087.31
unit.000033, 1, sim, 1446639033.56, 1446639034.68, 1446639057.04, 1446639057.24, 1446639082.07, 1446639084.27
unit.000034, 1, sim, 1446639033.56, 1446639034.64, 1446639054.02, 1446639054.24, 1446639085.1, 1446639088.33
unit.000035, 1, sim, 1446639033.57, 1446639034.64, 1446639054.85, 1446639055.05, 1446639093.9, 1446639095.35
unit.000036, 1, sim, 1446639033.57, 1446639034.62, 1446639053.36, 1446639053.56, 1446639084.39, 1446639087.31
unit.000037, 1, sim, 1446639033.57, 1446639034.64, 1446639054.64, 1446639054.84, 1446639087.82, 1446639089.33
unit.000038, 1, sim, 1446639033.57, 1446639034.65, 1446639055.32, 1446639055.46, 1446639094.0, 1446639095.35
unit.000039, 1, sim, 1446639033.57, 1446639034.66, 1446639055.88, 1446639056.38, 1446639094.81, 1446639096.36
unit.000040, 1, sim, 1446639033.57, 1446639034.68, 1446639056.83, 1446639057.03, 1446639080.55, 1446639082.24
unit.000041, 1, sim, 1446639033.58, 1446639034.7, 1446639057.45, 1446639057.65, 1446639081.26, 1446639083.26
unit.000042, 1, sim, 1446639033.58, 1446639034.71, 1446639058.07, 1446639058.27, 1446639085.3, 1446639088.33
unit.000043, 1, sim, 1446639033.58, 1446639034.71, 1446639058.49, 1446639058.69, 1446639101.35, 1446639102.38
unit.000044, 1, sim, 1446639033.58, 1446639034.71, 1446639058.91, 1446639059.11, 1446639105.9, 1446639110.48
unit.000045, 1, sim, 1446639033.58, 1446639034.78, 1446639064.65, 1446639064.85, 1446639104.38, 1446639107.44
unit.000046, 1, sim, 1446639033.58, 1446639034.8, 1446639066.77, 1446639066.89, 1446639103.17, 1446639105.41
unit.000047, 1, sim, 1446639033.59, 1446639034.72, 1446639059.37, 1446639059.57, 1446639106.91, 1446639112.51
unit.000048, 1, sim, 1446639033.59, 1446639034.74, 1446639060.82, 1446639061.02, 1446639104.18, 1446639107.43
unit.000049, 1, sim, 1446639033.59, 1446639034.74, 1446639061.49, 1446639061.69, 1446639104.28, 1446639107.43
unit.000050, 1, sim, 1446639033.59, 1446639034.75, 1446639062.33, 1446639062.53, 1446639101.85, 1446639102.39
unit.000051, 1, sim, 1446639033.59, 1446639034.76, 1446639063.61, 1446639063.82, 1446639106.2, 1446639111.5
unit.000052, 1, sim, 1446639033.59, 1446639034.77, 1446639064.24, 1446639064.44, 1446639102.16, 1446639103.39
unit.000053, 1, sim, 1446639033.59, 1446639034.78, 1446639064.86, 1446639065.06, 1446639107.11, 1446639112.52
unit.000054, 1, sim, 1446639033.6, 1446639034.79, 1446639065.66, 1446639065.86, 1446639101.15, 1446639102.38
