uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 0, pre_loop, 1446088334.34, 1446088334.64, 1446088345.63, 1446088345.87, 1446088347.05, 1446088347.67
unit.000001, 1, sim, 1446088366.67, 1446088373.06, 1446088470.75, 1446089015.83, 1446089208.68, 1446089209.93
unit.000002, 1, sim, 1446088366.67, 1446088373.03, 1446088467.07, 1446088998.04, 1446089191.31, 1446089192.24
unit.000003, 1, sim, 1446088366.67, 1446088373.07, 1446088472.79, 1446089148.03, 1446089340.79, 1446089342.15
unit.000004, 1, sim, 1446088366.67, 1446088373.08, 1446088473.4, 1446089149.53, 1446089343.62, 1446089345.12
unit.000005, 1, sim, 1446088366.68, 1446088373.08, 1446088473.81, 1446089151.21, 1446089343.52, 1446089345.12
unit.000006, 1, sim, 1446088366.68, 1446088373.09, 1446088474.64, 1446089153.04, 1446089348.07, 1446089349.46
unit.000007, 1, sim, 1446088366.68, 1446088373.1, 1446088475.44, 1446089156.08, 1446089349.9, 1446089351.58
unit.000008, 1, sim, 1446088366.68, 1446088373.1, 1446088476.06, 1446089156.55, 1446089351.32, 1446089352.59
unit.000009, 1, sim, 1446088366.68, 1446088373.11, 1446088476.93, 1446089158.16, 1446089349.59, 1446089350.58
unit.000010, 1, sim, 1446088366.68, 1446088373.11, 1446088477.29, 1446089159.06, 1446089351.73, 1446089352.71
unit.000011, 1, sim, 1446088366.68, 1446088373.12, 1446088477.7, 1446089159.95, 1446089354.15, 1446089355.8
unit.000012, 1, sim, 1446088366.69, 1446088373.12, 1446088478.31, 1446089160.47, 1446089359.24, 1446089360.91
unit.000013, 1, sim, 1446088366.69, 1446088373.13, 1446088479.12, 1446089163.56, 1446089356.49, 1446089357.84
unit.000014, 1, sim, 1446088366.69, 1446088373.13, 1446088479.99, 1446089164.4, 1446089357.2, 1446089358.85
unit.000015, 1, sim, 1446088366.69, 1446088373.14, 1446088480.77, 1446089165.21, 1446089358.32, 1446089359.89
unit.000016, 1, sim, 1446088366.69, 1446088373.14, 1446088481.38, 1446089165.94, 1446089357.3, 1446089358.85
unit.000017, 1, sim, 1446088366.69, 1446088373.15, 1446088481.79, 1446089166.24, 1446089357.4, 1446089358.86
unit.000018, 1, sim, 1446088366.7, 1446088371.99, 1446088400.29, 1446088574.53, 1446088781.33, 1446088782.47
unit.000019, 1, sim, 1446088366.7, 1446088373.16, 1446088483.22, 1446089168.65, 1446089359.44, 1446089360.91
unit.000020, 1, sim, 1446088366.7, 1446088373.18, 1446088484.24, 1446089169.33, 1446089362.49, 1446089364.22
unit.000021, 1, sim, 1446088366.7, 1446088373.19, 1446088485.47, 1446089171.26, 1446089362.6, 1446089365.35
unit.000022, 1, sim, 1446088366.7, 1446088373.2, 1446088486.28, 1446089171.83, 1446089363.21, 1446089366.41
unit.000023, 1, sim, 1446088366.7, 1446088373.21, 1446088487.14, 1446089172.35, 1446089365.75, 1446089367.43
unit.000024, 1, sim, 1446088366.7, 1446088373.2, 1446088487.3, 1446089172.47, 1446089368.38, 1446089369.59
unit.000025, 1, sim, 1446088366.71, 1446088373.22, 1446088487.91, 1446089173.64, 1446089364.73, 1446089366.41
unit.000026, 1, sim, 1446088366.71, 1446088373.22, 1446088488.74, 1446089175.92, 1446089369.39, 1446089371.66
unit.000027, 1, sim, 1446088366.71, 1446088373.23, 1446088489.35, 1446089177.48, 1446089371.41, 1446089372.78
unit.000028, 1, sim, 1446088366.71, 1446088373.24, 1446088489.76, 1446089180.61, 1446089373.84, 1446089374.81
unit.000029, 1, sim, 1446088366.71, 1446088373.24, 1446088490.57, 1446089184.25, 1446089376.26, 1446089378.03
unit.000030, 1, sim, 1446088366.72, 1446088373.25, 1446088490.98, 1446089185.16, 1446089378.19, 1446089380.15
unit.000031, 1, sim, 1446088366.72, 1446088373.25, 1446088491.8, 1446089186.67, 1446089378.08, 1446089380.16
unit.000032, 1, sim, 1446088366.72, 1446088373.25, 1446088492.25, 1446089187.0, 1446089380.41, 1446089382.47
unit.000033, 1, sim, 1446088366.72, 1446088373.26, 1446088492.61, 1446089188.4, 1446089383.74, 1446089385.51
unit.000034, 1, sim, 1446088366.72, 1446088373.26, 1446088493.02, 1446089191.42, 1446089384.55, 1446089386.52
unit.000035, 1, sim, 1446088366.72, 1446088373.27, 1446088493.84, 1446089193.13, 1446089388.7, 1446089389.66
unit.000036, 1, sim, 1446088366.73, 1446088373.28, 1446088494.66, 1446089195.98, 1446089392.44, 1446089393.82
unit.000037, 1, sim, 1446088366.73, 1446088373.52, 1446088495.88, 1446089201.33, 1446089392.95, 1446089393.83
unit.000038, 1, sim, 1446088366.73, 1446088373.52, 1446088496.33, 1446089201.73, 1446089396.38, 1446089397.37
unit.000039, 1, sim, 1446088366.73, 1446088373.52, 1446088496.69, 1446089206.88, 1446089399.81, 1446089401.04
unit.000040, 1, sim, 1446088366.73, 1446088373.53, 1446088497.1, 1446089209.74, 1446089401.53, 1446089402.45
unit.000041, 1, sim, 1446088366.73, 1446088373.53, 1446088497.72, 1446089216.16, 1446089409.5, 1446089410.75
unit.000042, 1, sim, 1446088366.73, 1446088373.54, 1446088498.38, 1446089338.17, 1446089530.94, 1446089532.71
unit.000043, 1, sim, 1446088366.74, 1446088373.55, 1446088499.15, 1446089342.72, 1446089535.09, 1446089536.79
unit.000044, 1, sim, 1446088366.74, 1446088372.55, 1446088437.69, 1446088793.61, 1446088988.22, 1446088989.89
unit.000045, 1, sim, 1446088366.74, 1446088372.56, 1446088438.05, 1446088795.01, 1446088988.32, 1446088989.9
unit.000046, 1, sim, 1446088366.74, 1446088372.56, 1446088438.46, 1446088797.84, 1446088989.64, 1446088990.91
unit.000047, 1, sim, 1446088366.74, 1446088372.57, 1446088439.07, 1446088798.88, 1446088993.38, 1446088994.94
unit.000048, 1, sim, 1446088366.74, 1446088372.57, 1446088439.73, 1446088801.89, 1446088994.19, 1446088996.01
unit.000049, 1, sim, 1446088366.75, 1446088372.57, 1446088440.29, 1446088802.79, 1446088995.51, 1446088997.03
