uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1446524220.95, 1446524290.23, 1446524220.95, 1446524294.08, 1446524485.05, 1446524486.89
unit.000001, step_1, 1446524220.95, 1446524305.9, 1446524220.95, 1446524309.72, 1446524500.46, 1446524502.38
unit.000002, step_1, 1446524220.95, 1446524772.84, 1446524220.95, 1446524777.31, 1446524968.31, 1446524969.67
unit.000003, step_1, 1446524220.95, 1446524322.15, 1446524220.95, 1446524326.07, 1446524516.78, 1446524517.87
unit.000004, step_1, 1446524220.95, 1446524328.86, 1446524220.95, 1446524332.93, 1446524524.04, 1446524525.31
unit.000005, step_1, 1446524220.96, 1446524335.42, 1446524220.96, 1446524339.39, 1446524532.5, 1446524533.42
unit.000006, step_1, 1446524220.96, 1446524342.76, 1446524220.96, 1446524347.12, 1446524537.84, 1446524539.65
unit.000007, step_1, 1446524220.96, 1446524352.23, 1446524220.96, 1446524356.45, 1446524551.55, 1446524552.98
unit.000008, step_1, 1446524220.96, 1446524363.05, 1446524220.96, 1446524367.0, 1446524563.84, 1446524564.43
unit.000009, step_1, 1446524220.96, 1446524369.12, 1446524220.96, 1446524373.17, 1446524564.55, 1446524565.45
unit.000010, step_1, 1446524220.96, 1446524376.61, 1446524220.96, 1446524380.73, 1446524572.31, 1446524573.81
unit.000011, step_1, 1446524220.97, 1446524380.05, 1446524220.97, 1446524384.0, 1446524575.63, 1446524576.84
unit.000012, step_1, 1446524220.97, 1446524386.54, 1446524220.97, 1446524390.45, 1446524583.19, 1446524584.93
unit.000013, step_1, 1446524220.97, 1446524393.35, 1446524220.97, 1446524397.34, 1446524593.67, 1446524595.24
unit.000014, step_1, 1446524220.97, 1446524402.7, 1446524220.97, 1446524406.85, 1446524597.4, 1446524598.27
unit.000015, step_1, 1446524220.97, 1446524407.24, 1446524220.97, 1446524411.42, 1446524602.24, 1446524603.36
unit.000016, step_1, 1446524220.97, 1446524413.96, 1446524220.97, 1446524418.0, 1446524610.7, 1446524611.76
unit.000017, step_1, 1446524220.98, 1446525406.36, 1446524220.98, 1446525410.65, 1446525604.2, 1446525605.42
unit.000018, step_1, 1446524220.98, 1446524425.52, 1446524220.98, 1446524429.43, 1446524620.98, 1446524622.98
unit.000019, step_1, 1446524220.98, 1446524430.59, 1446524220.98, 1446524434.71, 1446524625.92, 1446524627.26
unit.000020, step_1, 1446524220.98, 1446524227.3, 1446524220.98, 1446524233.96, 1446524427.1, 1446524427.91
unit.000021, step_1, 1446524220.98, 1446524235.9, 1446524220.98, 1446524239.71, 1446524432.14, 1446524433.02
unit.000022, step_1, 1446524220.98, 1446524432.35, 1446524220.98, 1446524436.62, 1446524627.23, 1446524629.27
unit.000023, step_1, 1446524220.99, 1446524419.0, 1446524220.99, 1446524422.98, 1446524618.17, 1446524618.86
unit.000024, step_1, 1446524220.99, 1446524239.06, 1446524220.99, 1446524243.28, 1446524434.76, 1446524436.05
unit.000025, step_1, 1446524220.99, 1446524272.4, 1446524220.99, 1446524276.54, 1446524469.33, 1446524470.35
unit.000026, step_1, 1446524220.99, 1446524252.59, 1446524220.99, 1446524256.46, 1446524451.18, 1446524452.6
unit.000027, step_1, 1446524220.99, 1446524265.97, 1446524220.99, 1446524270.11, 1446524460.86, 1446524461.98
unit.000028, step_1, 1446524220.99, 1446524276.04, 1446524220.99, 1446524280.19, 1446524471.45, 1446524472.37
unit.000029, step_1, 1446524221.0, 1446524282.79, 1446524221.0, 1446524286.69, 1446524479.4, 1446524480.77
unit.000030, step_1, 1446524221.0, 1446524622.06, 1446524221.0, 1446524626.28, 1446524817.74, 1446524819.06
unit.000031, step_1, 1446524221.0, 1446524296.55, 1446524221.0, 1446524300.38, 1446524491.9, 1446524493.26
unit.000032, step_1, 1446524221.0, 1446524695.18, 1446524221.0, 1446524699.49, 1446524890.06, 1446524891.17
unit.000033, step_1, 1446524221.0, 1446524312.45, 1446524221.0, 1446524316.18, 1446524510.34, 1446524511.79
unit.000034, step_1, 1446524221.0, 1446524319.21, 1446524221.0, 1446524323.08, 1446524516.58, 1446524517.87
unit.000035, step_1, 1446524221.01, 1446524322.3, 1446524221.01, 1446524326.46, 1446524517.19, 1446524518.88
unit.000036, step_1, 1446524221.01, 1446524328.86, 1446524221.01, 1446524333.13, 1446524525.65, 1446524527.32
unit.000037, step_1, 1446524221.01, 1446524338.64, 1446524221.01, 1446524342.38, 1446524536.73, 1446524538.64
unit.000038, step_1, 1446524221.01, 1446524346.46, 1446524221.01, 1446524350.39, 1446524541.37, 1446524542.72
unit.000039, step_1, 1446524221.01, 1446524359.08, 1446524221.01, 1446524363.0, 1446524557.19, 1446524558.06
unit.000040, step_1, 1446524221.01, 1446524366.3, 1446524221.01, 1446524370.72, 1446524563.94, 1446524565.45
unit.000041, step_1, 1446524221.01, 1446524372.43, 1446524221.01, 1446524376.55, 1446524567.57, 1446524568.55
unit.000042, step_1, 1446524221.02, 1446524379.04, 1446524221.02, 1446524383.07, 1446524573.72, 1446524574.81
unit.000043, step_1, 1446524221.02, 1446524383.29, 1446524221.02, 1446524387.18, 1446524579.46, 1446524579.93
unit.000044, step_1, 1446524221.02, 1446524389.82, 1446524221.02, 1446524394.01, 1446524591.05, 1446524592.09
unit.000045, step_1, 1446524221.02, 1446524396.59, 1446524221.02, 1446524400.6, 1446524593.47, 1446524595.25
unit.000046, step_1, 1446524221.02, 1446524406.13, 1446524221.02, 1446524410.12, 1446524601.33, 1446524602.35
