uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1445785522.79, 1445785569.71, 1445785522.79, 1445785574.45, 1445785768.04, 1445785769.25
unit.000001, step_1, 1445785522.79, 1445785525.04, 1445785522.79, 1445785534.84, 1445785726.04, 1445785727.22
unit.000002, step_1, 1445785522.79, 1445785544.62, 1445785522.79, 1445785549.09, 1445785740.17, 1445785742.26
unit.000003, step_1, 1445785522.81, 1445785546.01, 1445785522.81, 1445785550.59, 1445785741.36, 1445785742.47
unit.000004, step_1, 1445785522.81, 1445785537.48, 1445785522.81, 1445785541.97, 1445785732.36, 1445785734.28
unit.000005, step_1, 1445785522.82, 1445785541.02, 1445785522.82, 1445785545.69, 1445785736.46, 1445785737.72
unit.000006, step_1, 1445785522.82, 1445785535.33, 1445785522.82, 1445785539.8, 1445785732.15, 1445785734.11
unit.000007, step_1, 1445785522.82, 1445785555.41, 1445785522.82, 1445785559.92, 1445785755.91, 1445785757.42
unit.000008, step_1, 1445785522.84, 1445785566.15, 1445785522.84, 1445785570.74, 1445785762.02, 1445785763.53
unit.000009, step_1, 1445785522.85, 1445785584.14, 1445785522.85, 1445785588.76, 1445785781.87, 1445785783.26
unit.000010, step_1, 1445785522.86, 1445785533.93, 1445785522.86, 1445785538.57, 1445785729.15, 1445785730.83
unit.000011, step_1, 1445785522.86, 1445785549.57, 1445785522.86, 1445785554.07, 1445785746.59, 1445785748.27
unit.000012, step_1, 1445785522.86, 1445785556.74, 1445785522.86, 1445785561.22, 1445785760.22, 1445785761.0
unit.000013, step_1, 1445785522.88, 1445785562.54, 1445785522.88, 1445785567.02, 1445785759.72, 1445785761.04
unit.000014, step_1, 1445785522.89, 1445785573.43, 1445785522.89, 1445785577.85, 1445785770.74, 1445785771.77
unit.000015, step_1, 1445785522.89, 1445785580.59, 1445785522.89, 1445785584.99, 1445785777.56, 1445785778.81
unit.000016, step_1, 1445785522.9, 1445785571.18, 1445785522.9, 1445785575.67, 1445785766.63, 1445785768.1
unit.000017, step_1, 1445785522.91, 1445785524.85, 1445785522.91, 1445785532.53, 1445785724.63, 1445785725.96
unit.000018, step_1, 1445785522.91, 1445785531.57, 1445785522.91, 1445785536.26, 1445785727.74, 1445785729.58
unit.000019, step_1, 1445785522.92, 1445785574.73, 1445785522.92, 1445785579.15, 1445785770.24, 1445785771.77
unit.000020, step_1, 1445785522.92, 1445785538.89, 1445785522.92, 1445785543.37, 1445785734.86, 1445785736.46
unit.000021, step_1, 1445785522.92, 1445785563.95, 1445785522.92, 1445785568.52, 1445785760.12, 1445785761.17
unit.000022, step_1, 1445785522.94, 1445785548.17, 1445785522.94, 1445785552.58, 1445785743.38, 1445785744.83
unit.000023, step_1, 1445785522.94, 1445785551.76, 1445785522.94, 1445785556.48, 1445785749.49, 1445785751.02
unit.000024, step_1, 1445785522.95, 1445785577.03, 1445785522.95, 1445785581.61, 1445785772.45, 1445785774.12
unit.000025, step_1, 1445785522.95, 1445785560.3, 1445785522.95, 1445785564.86, 1445785758.81, 1445785760.87
unit.000026, step_1, 1445785522.95, 1445785553.17, 1445785522.95, 1445785557.78, 1445785750.7, 1445785751.73
unit.000027, step_1, 1445785522.96, 1445785567.52, 1445785522.96, 1445785572.05, 1445785763.33, 1445785764.7
unit.000028, step_1, 1445785522.97, 1445785578.28, 1445785522.97, 1445785583.01, 1445785773.85, 1445785775.21
unit.000029, step_1, 1445785522.98, 1445785558.97, 1445785522.98, 1445785563.63, 1445785762.23, 1445785763.44
unit.000030, step_1, 1445785522.98, 1445785542.44, 1445785522.98, 1445785546.9, 1445785737.37, 1445785738.82
unit.000031, step_1, 1445785522.98, 1445785582.09, 1445785522.98, 1445785586.54, 1445785779.06, 1445785779.82
unit.000032, step_2, 1445785786.01, 1445785798.06, 1445785786.01, 1445785800.19, 1445786012.96, 1445786014.31
unit.000033, step_2, 1445785786.02, 1445785794.42, 1445785786.02, 1445785796.25, 1445786009.48, 1445786010.51
unit.000034, step_2, 1445785786.02, 1445785794.42, 1445785786.02, 1445785796.48, 1445786009.14, 1445786010.69
unit.000035, step_2, 1445785786.03, 1445785788.42, 1445785786.03, 1445785790.64, 1445786003.13, 1445786004.75
unit.000036, step_2, 1445785786.04, 1445785799.88, 1445785786.04, 1445785801.93, 1445786017.07, 1445786018.28
unit.000037, step_2, 1445785786.04, 1445785790.63, 1445785786.04, 1445785792.58, 1445786004.53, 1445786006.38
unit.000038, step_2, 1445785786.05, 1445785798.97, 1445785786.05, 1445785801.06, 1445786014.16, 1445786015.76
unit.000039, step_2, 1445785786.06, 1445785795.33, 1445785786.06, 1445785797.13, 1445786013.26, 1445786015.57
unit.000040, step_2, 1445785786.06, 1445785802.91, 1445785786.06, 1445785805.03, 1445786018.88, 1445786019.9
unit.000041, step_2, 1445785786.06, 1445785789.7, 1445785786.06, 1445785791.51, 1445786007.04, 1445786007.65
unit.000042, step_2, 1445785786.07, 1445785789.73, 1445785786.07, 1445785791.71, 1445786003.73, 1445786004.92
unit.000043, step_2, 1445785786.07, 1445785802.91, 1445785786.07, 1445785804.83, 1445786018.17, 1445786019.79
unit.000044, step_2, 1445785786.08, 1445785798.96, 1445785786.08, 1445785800.86, 1445786016.37, 1445786017.07
unit.000045, step_2, 1445785786.08, 1445785800.79, 1445785786.08, 1445785802.84, 1445786017.57, 1445786019.61
unit.000046, step_2, 1445785786.09, 1445785792.51, 1445785786.09, 1445785794.58, 1445786009.25, 1445786010.51
unit.000047, step_2, 1445785786.09, 1445785801.99, 1445785786.09, 1445785804.16, 1445786016.87, 1445786018.46
unit.000048, step_2, 1445785786.1, 1445785788.45, 1445785786.1, 1445785790.84, 1445786004.03, 1445786006.2
unit.000049, step_2, 1445785786.1, 1445785795.33, 1445785786.1, 1445785797.33, 1445786010.85, 1445786011.78
unit.000050, step_2, 1445785786.11, 1445785796.24, 1445785786.11, 1445785798.0, 1445786013.06, 1445786015.58
unit.000051, step_2, 1445785786.11, 1445785796.24, 1445785786.11, 1445785798.21, 1445786012.35, 1445786014.13
unit.000052, step_2, 1445785786.11, 1445785791.55, 1445785786.11, 1445785793.7, 1445786006.44, 1445786007.72
unit.000053, step_2, 1445785786.12, 1445785790.61, 1445785786.12, 1445785792.38, 1445786004.83, 1445786006.27
unit.000054, step_2, 1445785786.12, 1445785797.15, 1445785786.12, 1445785798.87, 1445786012.75, 1445786014.13
unit.000055, step_2, 1445785786.12, 1445785801.98, 1445785786.12, 1445785803.96, 1445786017.17, 1445786018.34
unit.000056, step_2, 1445785786.13, 1445785792.51, 1445785786.13, 1445785794.39, 1445786008.84, 1445786010.33
unit.000057, step_2, 1445785786.13, 1445785799.88, 1445785786.13, 1445785801.73, 1445786014.96, 1445786015.93
unit.000058, step_2, 1445785786.14, 1445785797.15, 1445785786.14, 1445785799.08, 1445786013.16, 1445786015.75
unit.000059, step_2, 1445785786.14, 1445785791.53, 1445785786.14, 1445785793.5, 1445786005.43, 1445786006.45
unit.000060, step_2, 1445785786.14, 1445785798.05, 1445785786.14, 1445785799.99, 1445786012.86, 1445786014.31
unit.000061, step_2, 1445785786.14, 1445785793.51, 1445785786.14, 1445785795.43, 1445786007.94, 1445786009.05
unit.000062, step_2, 1445785786.15, 1445785800.79, 1445785786.15, 1445785803.05, 1445786018.28, 1445786019.72
unit.000063, step_2, 1445785786.16, 1445785793.51, 1445785786.16, 1445785795.58, 1445786008.94, 1445786010.33
