uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-09-24 01:14:44.340000, 2015-09-24 01:14:44.747000, 2015-09-24 01:14:50.174000, 2015-09-24 01:14:50.186000, 2015-09-24 01:14:51.097000, 2015-09-24 01:14:52.461000
unit.000001, 1, sim, 2015-09-24 01:14:53.028000, 2015-09-24 01:14:55.052000, 2015-09-24 01:14:55.989000, 2015-09-24 01:14:56.007000, 2015-09-24 01:18:07.422000, 2015-09-24 01:18:08.683000
unit.000002, 1, sim, 2015-09-24 01:14:53.030000, 2015-09-24 01:14:54.552000, 2015-09-24 01:14:55.995000, 2015-09-24 01:14:56.019000, 2015-09-24 01:18:09.240000, 2015-09-24 01:18:09.731000
unit.000003, 1, sim, 2015-09-24 01:14:53.031000, 2015-09-24 01:14:55.229000, 2015-09-24 01:14:56.005000, 2015-09-24 01:14:56.029000, 2015-09-24 01:18:07.931000, 2015-09-24 01:18:08.859000
unit.000004, 1, sim, 2015-09-24 01:14:53.033000, 2015-09-24 01:14:55.338000, 2015-09-24 01:14:56.014000, 2015-09-24 01:14:56.038000, 2015-09-24 01:18:07.526000, 2015-09-24 01:18:09.036000
unit.000005, 1, sim, 2015-09-24 01:14:53.034000, 2015-09-24 01:14:55.405000, 2015-09-24 01:14:56.704000, 2015-09-24 01:14:56.715000, 2015-09-24 01:18:08.436000, 2015-09-24 01:18:09.907000
unit.000006, 1, sim, 2015-09-24 01:14:53.036000, 2015-09-24 01:14:55.514000, 2015-09-24 01:14:56.709000, 2015-09-24 01:14:56.724000, 2015-09-24 01:18:08.234000, 2015-09-24 01:18:09.212000
unit.000007, 1, sim, 2015-09-24 01:14:53.038000, 2015-09-24 01:14:55.594000, 2015-09-24 01:14:56.713000, 2015-09-24 01:14:56.732000, 2015-09-24 01:18:07.829000, 2015-09-24 01:18:09.388000
unit.000008, 1, sim, 2015-09-24 01:14:53.039000, 2015-09-24 01:14:55.691000, 2015-09-24 01:14:56.717000, 2015-09-24 01:14:56.741000, 2015-09-24 01:18:07.424000, 2015-09-24 01:18:09.555000
unit.000009, 1, sim, 2015-09-24 01:14:53.041000, 2015-09-24 01:14:55.779000, 2015-09-24 01:14:56.721000, 2015-09-24 01:18:07.432000, 2015-09-24 01:21:20.158000, 2015-09-24 01:21:21.360000
unit.000010, 1, sim, 2015-09-24 01:14:53.043000, 2015-09-24 01:14:55.867000, 2015-09-24 01:14:56.725000, 2015-09-24 01:18:07.440000, 2015-09-24 01:21:18.549000, 2015-09-24 01:21:20.096000
unit.000011, 1, sim, 2015-09-24 01:14:53.045000, 2015-09-24 01:14:55.955000, 2015-09-24 01:14:56.730000, 2015-09-24 01:18:07.535000, 2015-09-24 01:21:19.653000, 2015-09-24 01:21:21.536000
unit.000012, 1, sim, 2015-09-24 01:14:53.046000, 2015-09-24 01:14:56.044000, 2015-09-24 01:14:56.733000, 2015-09-24 01:18:07.838000, 2015-09-24 01:21:19.754000, 2015-09-24 01:21:21.713000
unit.000013, 1, sim, 2015-09-24 01:14:53.048000, 2015-09-24 01:14:56.131000, 2015-09-24 01:14:57.283000, 2015-09-24 01:18:07.940000, 2015-09-24 01:21:22.365000, 2015-09-24 01:21:24.086000
unit.000014, 1, sim, 2015-09-24 01:14:53.049000, 2015-09-24 01:14:56.220000, 2015-09-24 01:14:57.287000, 2015-09-24 01:18:08.243000, 2015-09-24 01:21:22.567000, 2015-09-24 01:21:24.243000
unit.000015, 1, sim, 2015-09-24 01:14:53.051000, 2015-09-24 01:14:56.307000, 2015-09-24 01:14:57.291000, 2015-09-24 01:18:08.446000, 2015-09-24 01:21:20.160000, 2015-09-24 01:21:21.732000
unit.000016, 1, sim, 2015-09-24 01:14:53.052000, 2015-09-24 01:14:56.396000, 2015-09-24 01:14:57.294000, 2015-09-24 01:18:09.249000, 2015-09-24 01:21:19.956000, 2015-09-24 01:21:21.889000
unit.000017, 1, sim, 2015-09-24 01:21:25.573000, 2015-09-24 01:21:26.351000, 2015-09-24 01:21:27.002000, 2015-09-24 01:21:27.013000, 2015-09-24 01:24:59.626000, 2015-09-24 01:25:01.049000
unit.000018, 1, sim, 2015-09-24 01:21:25.575000, 2015-09-24 01:21:26.617000, 2015-09-24 01:21:27.722000, 2015-09-24 01:21:27.736000, 2015-09-24 01:24:59.929000, 2015-09-24 01:25:01.306000
unit.000019, 1, sim, 2015-09-24 01:21:25.576000, 2015-09-24 01:21:26.703000, 2015-09-24 01:21:27.725000, 2015-09-24 01:21:27.745000, 2015-09-24 01:25:00.242000, 2015-09-24 01:25:01.402000
unit.000020, 1, sim, 2015-09-24 01:21:25.578000, 2015-09-24 01:21:27.144000, 2015-09-24 01:21:28.442000, 2015-09-24 01:24:59.635000, 2015-09-24 01:28:32.496000, 2015-09-24 01:28:32.974000
unit.000021, 1, sim, 2015-09-24 01:21:25.579000, 2015-09-24 01:21:27.055000, 2015-09-24 01:21:27.738000, 2015-09-24 01:24:59.432000, 2015-09-24 01:28:33.205000, 2015-09-24 01:28:34.486000
unit.000022, 1, sim, 2015-09-24 01:21:25.581000, 2015-09-24 01:21:27.496000, 2015-09-24 01:21:28.455000, 2015-09-24 01:25:00.253000, 2015-09-24 01:28:32.598000, 2015-09-24 01:28:33.326000
unit.000023, 1, sim, 2015-09-24 01:21:25.583000, 2015-09-24 01:21:27.582000, 2015-09-24 01:21:28.458000, 2015-09-24 01:25:00.262000, 2015-09-24 01:28:33.507000, 2015-09-24 01:28:34.663000
unit.000024, 1, sim, 2015-09-24 01:21:25.584000, 2015-09-24 01:21:27.320000, 2015-09-24 01:21:28.450000, 2015-09-24 01:25:00.141000, 2015-09-24 01:28:31.691000, 2015-09-24 01:28:33.150000
unit.000025, 1, sim, 2015-09-24 01:21:25.586000, 2015-09-24 01:21:26.968000, 2015-09-24 01:21:27.735000, 2015-09-24 01:21:27.772000, 2015-09-24 01:25:00.846000, 2015-09-24 01:25:01.767000
unit.000026, 1, sim, 2015-09-24 01:21:25.587000, 2015-09-24 01:21:27.406000, 2015-09-24 01:21:28.452000, 2015-09-24 01:25:00.244000, 2015-09-24 01:28:32.394000, 2015-09-24 01:28:33.220000
unit.000027, 1, sim, 2015-09-24 01:21:25.589000, 2015-09-24 01:21:27.678000, 2015-09-24 01:21:28.461000, 2015-09-24 01:25:00.856000, 2015-09-24 01:28:35.212000, 2015-09-24 01:28:36.947000
unit.000028, 1, sim, 2015-09-24 01:21:25.591000, 2015-09-24 01:21:26.879000, 2015-09-24 01:21:27.731000, 2015-09-24 01:21:27.762000, 2015-09-24 01:25:00.238000, 2015-09-24 01:25:01.579000
unit.000029, 1, sim, 2015-09-24 01:21:25.592000, 2015-09-24 01:21:27.230000, 2015-09-24 01:21:28.446000, 2015-09-24 01:24:59.938000, 2015-09-24 01:28:32.800000, 2015-09-24 01:28:34.593000
unit.000030, 1, sim, 2015-09-24 01:21:25.594000, 2015-09-24 01:21:26.793000, 2015-09-24 01:21:27.728000, 2015-09-24 01:21:27.754000, 2015-09-24 01:25:00.235000, 2015-09-24 01:25:01.483000
unit.000031, 1, sim, 2015-09-24 01:21:25.595000, 2015-09-24 01:21:26.528000, 2015-09-24 01:21:27.715000, 2015-09-24 01:21:27.727000, 2015-09-24 01:25:00.132000, 2015-09-24 01:25:01.226000
