uid, iter, step, Scheduling, StagingInput, Allocating, Executing, PendingAgentOutputStaging, Done

unit.000000, 0, pre_loop, 2015-09-26 02:42:53.312000, 2015-09-26 02:42:54.418000, 2015-09-26 02:42:59.797000, 2015-09-26 02:42:59.810000, 2015-09-26 02:43:00.720000, 2015-09-26 02:43:02.132000
unit.000001, 1, sim, 2015-09-26 02:43:03.351000, 2015-09-26 02:43:04.788000, 2015-09-26 02:43:05.463000, 2015-09-26 02:43:05.476000, 2015-09-26 02:46:18.793000, 2015-09-26 02:46:20.331000
unit.000002, 1, sim, 2015-09-26 02:43:03.352000, 2015-09-26 02:43:04.227000, 2015-09-26 02:43:05.464000, 2015-09-26 02:43:05.476000, 2015-09-26 02:46:18.591000, 2015-09-26 02:46:20.508000
unit.000003, 1, sim, 2015-09-26 02:43:03.357000, 2015-09-26 02:43:04.965000, 2015-09-26 02:43:05.466000, 2015-09-26 02:43:05.477000, 2015-09-26 02:46:18.292000, 2015-09-26 02:46:20.596000
unit.000004, 1, sim, 2015-09-26 02:43:03.367000, 2015-09-26 02:43:05.073000, 2015-09-26 02:43:06.181000, 2015-09-26 02:43:06.194000, 2015-09-26 02:46:21.997000, 2015-09-26 02:46:23.301000
unit.000005, 1, sim, 2015-09-26 02:43:03.368000, 2015-09-26 02:43:05.141000, 2015-09-26 02:43:06.185000, 2015-09-26 02:43:06.199000, 2015-09-26 02:46:18.992000, 2015-09-26 02:46:20.685000
unit.000006, 1, sim, 2015-09-26 02:43:03.374000, 2015-09-26 02:43:05.250000, 2015-09-26 02:43:06.186000, 2015-09-26 02:43:06.200000, 2015-09-26 02:46:18.292000, 2015-09-26 02:46:20.773000
unit.000007, 1, sim, 2015-09-26 02:43:03.376000, 2015-09-26 02:43:05.317000, 2015-09-26 02:43:06.187000, 2015-09-26 02:43:06.200000, 2015-09-26 02:46:18.592000, 2015-09-26 02:46:20.865000
unit.000008, 1, sim, 2015-09-26 02:43:03.377000, 2015-09-26 02:43:05.427000, 2015-09-26 02:43:06.192000, 2015-09-26 02:43:06.202000, 2015-09-26 02:46:18.490000, 2015-09-26 02:46:20.949000
unit.000009, 1, sim, 2015-09-26 02:43:03.381000, 2015-09-26 02:43:05.493000, 2015-09-26 02:43:06.194000, 2015-09-26 02:46:18.302000, 2015-09-26 02:49:31.457000, 2015-09-26 02:49:32.729000
unit.000010, 1, sim, 2015-09-26 02:43:03.387000, 2015-09-26 02:43:05.604000, 2015-09-26 02:43:06.907000, 2015-09-26 02:46:18.302000, 2015-09-26 02:49:30.555000, 2015-09-26 02:49:31.845000
unit.000011, 1, sim, 2015-09-26 02:43:03.389000, 2015-09-26 02:43:05.671000, 2015-09-26 02:43:06.909000, 2015-09-26 02:46:18.499000, 2015-09-26 02:49:30.555000, 2015-09-26 02:49:32.021000
unit.000012, 1, sim, 2015-09-26 02:43:03.394000, 2015-09-26 02:43:05.785000, 2015-09-26 02:43:06.915000, 2015-09-26 02:46:18.602000, 2015-09-26 02:49:30.453000, 2015-09-26 02:49:32.197000
unit.000013, 1, sim, 2015-09-26 02:43:03.395000, 2015-09-26 02:43:05.848000, 2015-09-26 02:43:06.914000, 2015-09-26 02:46:18.601000, 2015-09-26 02:49:31.050000, 2015-09-26 02:49:32.377000
unit.000014, 1, sim, 2015-09-26 02:43:03.397000, 2015-09-26 02:43:05.961000, 2015-09-26 02:43:06.918000, 2015-09-26 02:46:18.802000, 2015-09-26 02:49:31.753000, 2015-09-26 02:49:32.745000
unit.000015, 1, sim, 2015-09-26 02:43:03.401000, 2015-09-26 02:43:06.024000, 2015-09-26 02:43:06.919000, 2015-09-26 02:46:19.002000, 2015-09-26 02:49:30.550000, 2015-09-26 02:49:32.553000
unit.000016, 1, sim, 2015-09-26 02:43:03.403000, 2015-09-26 02:43:06.158000, 2015-09-26 02:43:06.922000, 2015-09-26 02:46:22.006000, 2015-09-26 02:49:34.857000, 2015-09-26 02:49:36.171000
unit.000017, 1, sim, 2015-09-26 02:49:37.368000, 2015-09-26 02:49:39.285000, 2015-09-26 02:49:40.358000, 2015-09-26 02:53:13.358000, 2015-09-26 02:56:46.641000, 2015-09-26 02:56:47.471000
unit.000018, 1, sim, 2015-09-26 02:49:37.370000, 2015-09-26 02:49:39.641000, 2015-09-26 02:49:40.366000, 2015-09-26 02:53:15.461000, 2015-09-26 02:56:50.142000, 2015-09-26 02:56:52.181000
unit.000019, 1, sim, 2015-09-26 02:49:37.371000, 2015-09-26 02:49:38.585000, 2015-09-26 02:49:39.772000, 2015-09-26 02:49:39.787000, 2015-09-26 02:53:14.354000, 2015-09-26 02:53:15.646000
unit.000020, 1, sim, 2015-09-26 02:49:37.373000, 2015-09-26 02:49:39.109000, 2015-09-26 02:49:39.785000, 2015-09-26 02:53:12.357000, 2015-09-26 02:56:45.745000, 2015-09-26 02:56:47.151000
unit.000021, 1, sim, 2015-09-26 02:49:37.374000, 2015-09-26 02:49:39.115000, 2015-09-26 02:49:39.786000, 2015-09-26 02:53:12.973000, 2015-09-26 02:56:45.045000, 2015-09-26 02:56:47.295000
unit.000022, 1, sim, 2015-09-26 02:49:37.376000, 2015-09-26 02:49:39.468000, 2015-09-26 02:49:40.364000, 2015-09-26 02:53:15.175000, 2015-09-26 02:56:50.342000, 2015-09-26 02:56:52.041000
unit.000023, 1, sim, 2015-09-26 02:49:37.377000, 2015-09-26 02:49:38.574000, 2015-09-26 02:49:39.770000, 2015-09-26 02:49:39.784000, 2015-09-26 02:53:15.452000, 2015-09-26 02:53:16.894000
unit.000024, 1, sim, 2015-09-26 02:49:37.379000, 2015-09-26 02:49:38.222000, 2015-09-26 02:49:39.050000, 2015-09-26 02:49:39.062000, 2015-09-26 02:53:15.167000, 2015-09-26 02:53:15.618000
unit.000025, 1, sim, 2015-09-26 02:49:37.380000, 2015-09-26 02:49:38.398000, 2015-09-26 02:49:39.052000, 2015-09-26 02:49:39.063000, 2015-09-26 02:53:13.757000, 2015-09-26 02:53:15.440000
unit.000026, 1, sim, 2015-09-26 02:49:37.382000, 2015-09-26 02:49:38.926000, 2015-09-26 02:49:39.777000, 2015-09-26 02:49:39.792000, 2015-09-26 02:53:12.349000, 2015-09-26 02:53:14.206000
unit.000027, 1, sim, 2015-09-26 02:49:37.383000, 2015-09-26 02:49:39.464000, 2015-09-26 02:49:40.361000, 2015-09-26 02:53:14.364000, 2015-09-26 02:56:47.839000, 2015-09-26 02:56:48.735000
