uid, iter, step, Scheduling, StagingInput, AgentStagingInputPending, AgentStagingInput, AllocatingPending, Allocating, ExecutingPending, Executing, AgentStagingOutputPending, AgentStagingOutput, PendingOutputStaging, StagingOutput, Done

unit.000000, 1, sim, 1468422402.19, 1468422403.76, 1468422403.76, 1468422408.6, 1468422408.6, 1468422408.65, 1468422408.65,1468422408.79, 1468422421.92, 1468422422.08, 1468422422.1, 1468422423.11, 1468422423.21
unit.000001, 1, sim, 1468422402.19, 1468422404.35, 1468422404.35, 1468422408.62, 1468422408.63, 1468422408.67, 1468422408.67,1468422408.95, 1468422421.94, 1468422422.23, 1468422422.24, 1468422423.7, 1468422423.8
unit.000002, 1, sim, 1468422402.19, 1468422404.75, 1468422404.75, 1468422408.68, 1468422408.69, 1468422408.69, 1468422408.69,1468422409.07, 1468422421.93, 1468422422.14, 1468422422.16, 1468422424.1, 1468422424.19
unit.000003, 1, sim, 1468422402.19, 1468422403.56, 1468422403.56, 1468422408.59, 1468422408.6, 1468422408.64, 1468422408.64,1468422408.73, 1468422421.92, 1468422422.07, 1468422422.08, 1468422422.91, 1468422423.01
unit.000004, 1, sim, 1468422402.19, 1468422404.15, 1468422404.15, 1468422408.62, 1468422408.62, 1468422408.66, 1468422408.67,1468422408.89, 1468422421.94, 1468422422.19, 1468422422.2, 1468422423.51, 1468422423.6
unit.000005, 1, sim, 1468422402.19, 1468422404.55, 1468422404.55, 1468422408.63, 1468422408.65, 1468422408.68, 1468422408.68,1468422409.0, 1468422421.93, 1468422422.13, 1468422422.14, 1468422423.9, 1468422424.0
unit.000006, 1, sim, 1468422402.19, 1468422403.37, 1468422403.37, 1468422408.59, 1468422408.59, 1468422408.64, 1468422408.64,1468422408.7, 1468422421.87, 1468422422.05, 1468422422.07, 1468422422.72, 1468422422.81
unit.000007, 1, sim, 1468422402.19, 1468422404.37, 1468422404.37, 1468422408.63, 1468422408.63, 1468422408.68, 1468422408.68,1468422408.97, 1468422421.95, 1468422422.25, 1468422422.27, 1468422423.78, 1468422423.88
unit.000008, 1, sim, 1468422402.19, 1468422403.59, 1468422403.59, 1468422408.6, 1468422408.6, 1468422408.64, 1468422408.65,1468422408.76, 1468422421.94, 1468422422.21, 1468422422.23, 1468422422.99, 1468422423.08
unit.000009, 1, sim, 1468422402.19, 1468422403.95, 1468422403.95, 1468422408.61, 1468422408.61, 1468422408.66, 1468422408.66,1468422408.84, 1468422421.97, 1468422422.27, 1468422422.28, 1468422423.31, 1468422423.41
unit.000010, 1, sim, 1468422402.19, 1468422403.39, 1468422403.39, 1468422408.59, 1468422408.59, 1468422408.64, 1468422408.64,1468422408.7, 1468422421.93, 1468422422.16, 1468422422.17, 1468422422.79, 1468422422.89
unit.000011, 1, sim, 1468422402.19, 1468422404.17, 1468422404.17, 1468422408.62, 1468422408.62, 1468422408.67, 1468422408.67,1468422408.92, 1468422421.93, 1468422422.11, 1468422422.13, 1468422423.58, 1468422423.69
unit.000012, 1, sim, 1468422402.19, 1468422403.98, 1468422403.98, 1468422408.61, 1468422408.61, 1468422408.66, 1468422408.66,1468422408.86, 1468422421.93, 1468422422.1, 1468422422.11, 1468422423.39, 1468422423.48
unit.000013, 1, sim, 1468422402.19, 1468422404.77, 1468422404.77, 1468422408.69, 1468422408.69, 1468422408.69, 1468422408.7,1468422409.1, 1468422421.94, 1468422422.24, 1468422422.25, 1468422424.19, 1468422424.29
unit.000014, 1, sim, 1468422402.19, 1468422403.78, 1468422403.78, 1468422408.61, 1468422408.61, 1468422408.65, 1468422408.66,1468422408.81, 1468422421.94, 1468422422.17, 1468422422.19, 1468422423.19, 1468422423.29
unit.000015, 1, sim, 1468422402.19, 1468422404.58, 1468422404.58, 1468422408.65, 1468422408.67, 1468422408.68, 1468422408.68,1468422409.03, 1468422421.94, 1468422422.2, 1468422422.21, 1468422423.98, 1468422424.09
unit.000016, 1, ana, 1468422428.44, 1468422429.12, 1468422429.12, 1468422430.57, 1468422430.63, 1468422430.63, 1468422430.63,1468422430.64, 1468422436.61, 1468422436.66, 1468422437.34, 1468422437.49, 1468422437.59
