,AgentStagingInput,AgentStagingInputPending,AgentStagingOutput,AgentStagingOutputPending,Allocating,AllocatingPending,Canceled,Done,Executing,ExecutingPending,Failed,New,PendingInputStaging,PendingOutputStaging,Scheduling,StagingInput,StagingOutput,Unscheduled,cores,finished,pid,sid,slots,started,uid,iter,step
0,102.7888171672821,95.06299710273743,115.50339913368225,114.99734497070312,102.79385805130005,102.79230403900146,,119.32136511802673,103.04631209373474,102.79701018333435,,90.50054216384888,95.06299710273743,115.56533408164978,90.50054216384888,95.06299710273743,119.21873116493225,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000035,1,sim
1,102.80161619186401,95.26230216026306,115.56704306602478,114.9990611076355,102.80808520317078,102.80652499198914,,119.39913010597229,103.04966306686401,102.81122517585754,,90.49412417411804,95.26230216026306,115.6024010181427,90.49412417411804,95.26230216026306,119.30236411094666,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000004,1,sim
2,102.81583905220032,95.46303415298462,115.6040940284729,115.00075697898865,102.82064008712769,102.81908512115479,,119.52066898345947,103.05302119255066,102.82378697395325,,90.49821710586548,95.46303415298462,115.64332413673401,90.49821710586548,95.46303415298462,119.41817903518677,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000024,1,sim
3,102.828449010849,95.65783309936523,115.64501619338989,115.00244998931885,102.83324098587036,102.83167815208435,,119.59421014785767,103.05637001991272,102.83639216423035,,90.50236201286316,95.65783309936523,115.65296697616577,90.50236201286316,95.65783309936523,119.49743819236755,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000044,1,sim
4,102.84098219871521,95.86169505119324,115.65467119216919,115.00413799285889,102.84580612182617,102.84424209594727,,119.72016716003418,103.05980706214905,102.8489420413971,,90.50437712669373,95.86169505119324,115.81570219993591,90.50437712669373,95.86169505119324,119.61747598648071,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000054,1,sim
5,102.8535840511322,96.05584406852722,115.81740808486938,115.00583219528198,102.86015701293945,102.85690402984619,,119.78889608383179,103.11363911628723,102.8633041381836,,90.49453210830688,96.05584406852722,115.85616898536682,90.49453210830688,96.05584406852722,119.69224405288696,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000006,1,sim
6,102.86790108680725,96.25068402290344,115.85787796974182,115.00752401351929,102.87273907661438,102.87117719650269,,119.9203770160675,103.14520812034607,102.87594819068909,,90.49392104148865,96.25068402290344,115.88940501213074,90.49392104148865,96.25068402290344,119.8216941356659,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000003,1,sim
7,102.88067603111267,96.44567203521729,115.8911190032959,115.00921511650085,102.88555598258972,102.88399720191956,,119.98823809623718,103.1667251586914,102.8887071609497,,90.49891519546509,96.44567203521729,115.8994791507721,90.49891519546509,96.44567203521729,119.88573503494263,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000027,1,sim
8,102.79531812667847,95.08968710899353,115.9011721611023,115.01091599464417,102.80014419555664,102.79858016967773,,120.11396908760071,103.04798412322998,102.80328702926636,,90.50378108024597,95.08968710899353,115.9082419872284,90.50378108024597,95.08968710899353,120.01673197746277,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000051,1,sim
9,102.82209897041321,95.47916197776794,115.90995001792908,115.01260900497437,102.82696318626404,102.82534718513489,,120.18862414360046,103.05469918251038,102.8301169872284,,90.49432802200317,95.47916197776794,115.93450808525085,90.49432802200317,95.47916197776794,120.08992004394531,,1,,pilot.0000,rp.session.radical.vivek.016996.0018,,,unit.000005,1,sim
