
allocate,start_time,2015-11-20 12:14:52.933362
allocate,stop_time,2015-11-20 12:14:57.046165


Cycle; Step; Start; Stop; Duration
cycle_1; pp_step; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; pp_step_enmd_overhead; 2015-11-20 22:09:52.188846; 2015-11-20 22:09:53.214908; 1.026062
cycle_1; ex_step; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:52.188766; 22.2364
cycle_1; ex_step_enmd_overhead; 2015-11-20 22:09:29.952366; 2015-11-20 22:09:29.956361; 0.003995
cycle_1; md_step; 2015-11-20 17:15:42.213394; 2015-11-20 22:09:29.939982; 17627.726588
cycle_1; md_step_enmd_overhead; 2015-11-20 17:15:42.213394; 2015-11-20 17:15:51.619099; 9.405705
CU_ID; Scheduling; StagingInput; Allocating; Executing; StagingOutput; Done; Cycle; Step;
unit.002560; 2015-11-20 22:09:29.961000; 2015-11-20 22:09:30.464000; 2015-11-20 22:09:30.815000; 2015-11-20 22:09:30.848000; 2015-11-20 22:09:45.716000; 2015-11-20 22:09:51.179000; cycle_1; ex_step
unit.000509; 2015-11-20 17:16:08.628000; 2015-11-20 17:17:09.451000; 2015-11-20 17:17:09.811000; 2015-11-20 19:05:59.035000; 2015-11-20 19:08:18.469000; 2015-11-20 19:08:18.518000; cycle_1; md_step
unit.001585; 2015-11-20 17:16:09.519000; 2015-11-20 17:18:08.646000; 2015-11-20 17:18:09.145000; 2015-11-20 21:19:13.511000; 2015-11-20 21:21:31.980000; 2015-11-20 21:21:31.997000; cycle_1; md_step
unit.001584; 2015-11-20 17:16:09.519000; 2015-11-20 17:18:08.375000; 2015-11-20 17:18:08.897000; 2015-11-20 21:18:41.801000; 2015-11-20 21:21:01.393000; 2015-11-20 21:21:01.412000; cycle_1; md_step
unit.001587; 2015-11-20 17:16:09.521000; 2015-11-20 17:18:09.095000; 2015-11-20 17:18:09.375000; 2015-11-20 21:20:50.015000; 2015-11-20 21:23:10.431000; 2015-11-20 21:23:10.487000; cycle_1; md_step
unit.001586; 2015-11-20 17:16:09.520000; 2015-11-20 17:18:08.913000; 2015-11-20 17:18:09.370000; 2015-11-20 21:20:43.199000; 2015-11-20 21:23:01.959000; 2015-11-20 21:23:01.984000; cycle_1; md_step
unit.001581; 2015-11-20 17:16:09.517000; 2015-11-20 17:17:01.849000; 2015-11-20 17:17:02.339000; 2015-11-20 18:45:40.187000; 2015-11-20 18:47:59.620000; 2015-11-20 18:47:59.671000; cycle_1; md_step
unit.001580; 2015-11-20 17:16:09.516000; 2015-11-20 17:18:03.185000; 2015-11-20 17:18:03.610000; 2015-11-20 21:09:14.001000; 2015-11-20 21:11:32.586000; 2015-11-20 21:11:32.979000; cycle_1; md_step
unit.001583; 2015-11-20 17:16:09.518000; 2015-11-20 17:18:08.339000; 2015-11-20 17:18:08.897000; 2015-11-20 21:18:42.128000; 2015-11-20 21:21:02.437000; 2015-11-20 21:21:02.491000; cycle_1; md_step
unit.001582; 2015-11-20 17:16:09.517000; 2015-11-20 17:17:07.881000; 2015-11-20 17:17:08.213000; 2015-11-20 19:01:22.499000; 2015-11-20 19:03:41.238000; 2015-11-20 19:03:41.260000; cycle_1; md_step
unit.001589; 2015-11-20 17:16:09.522000; 2015-11-20 17:18:09.585000; 2015-11-20 17:18:09.854000; 2015-11-20 21:21:03.027000; 2015-11-20 21:23:22.384000; 2015-11-20 21:23:22.501000; cycle_1; md_step
unit.001588; 2015-11-20 17:16:09.521000; 2015-11-20 17:18:09.321000; 2015-11-20 17:18:09.621000; 2015-11-20 21:21:01.349000; 2015-11-20 21:23:18.957000; 2015-11-20 21:23:19.005000; cycle_1; md_step
unit.000218; 2015-11-20 17:16:08.396000; 2015-11-20 17:17:49.176000; 2015-11-20 17:17:49.574000; 2015-11-20 20:37:17.491000; 2015-11-20 20:39:35.229000; 2015-11-20 20:39:35.265000; cycle_1; md_step
unit.000219; 2015-11-20 17:16:08.396000; 2015-11-20 17:17:49.281000; 2015-11-20 17:17:49.578000; 2015-11-20 20:37:19.266000; 2015-11-20 20:39:35.273000; 2015-11-20 20:39:35.295000; cycle_1; md_step
unit.000216; 2015-11-20 17:16:08.394000; 2015-11-20 17:17:48.866000; 2015-11-20 17:17:49.298000; 2015-11-20 20:35:37.439000; 2015-11-20 20:37:54.828000; 2015-11-20 20:37:54.892000; cycle_1; md_step
unit.000217; 2015-11-20 17:16:08.395000; 2015-11-20 17:17:48.989000; 2015-11-20 17:17:49.304000; 2015-11-20 20:37:02.539000; 2015-11-20 20:39:18.024000; 2015-11-20 20:39:18.038000; cycle_1; md_step
unit.000214; 2015-11-20 17:16:08.392000; 2015-11-20 17:17:48.556000; 2015-11-20 17:17:49.065000; 2015-11-20 20:35:26.709000; 2015-11-20 20:37:43.939000; 2015-11-20 20:37:43.973000; cycle_1; md_step
unit.000215; 2015-11-20 17:16:08.393000; 2015-11-20 17:17:48.659000; 2015-11-20 17:17:49.070000; 2015-11-20 20:35:27.012000; 2015-11-20 20:37:43.960000; 2015-11-20 20:37:43.995000; cycle_1; md_step
unit.000212; 2015-11-20 17:16:08.390000; 2015-11-20 17:17:48.435000; 2015-11-20 17:17:48.803000; 2015-11-20 20:35:08.598000; 2015-11-20 20:37:25.134000; 2015-11-20 20:37:25.146000; cycle_1; md_step
unit.000213; 2015-11-20 17:16:08.391000; 2015-11-20 17:17:48.520000; 2015-11-20 17:17:48.821000; 2015-11-20 20:35:13.408000; 2015-11-20 20:37:31.565000; 2015-11-20 20:37:31.580000; cycle_1; md_step
